dataset,image_path,text
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00023.png,فرأيت أن أطلب الاشتغال بالطب ابتغاء الآخرة: لئلا أكون كالتاجر الذي باع
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00024.png,فأقبلت على مداواة المرضى ابتغاء أجر الآخرة، فلم أدع
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00025.png,أن يخف عنه بعض المرض، إلا بالغت في مداواته @
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00026.png,ما أمكنني القيام عليه بنفسي؛ ومن لم أقدر على القيام عليه
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00027.png,وصفت له ما يصلح، وأعطيته من الدواء ما يعالج به
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00028.png,ـ@ ولم أرد ممن فعلت معه ذلك جزاءً ؛ ولم أغبط أحداً
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00029.png,من نظرائي الذين هم دوني في العلم وفوقي في الجاه
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00030.png,والمال وغيرهما مما لا يعود بصلاح ولا حسن سيرةٍ قولاً ولا عملاً
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00031.png,فقلت: يا نفس، أما تعرفين نفعك من ضرك؟
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00032.png,وكأن الدنيا جذلة مسرورةٌ تقول: قد جبت الخيرات وأظهرت السيئات  فلما فكرت في الدنيا وأمورها؛ وأن الإنسان هو أترف
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00033.png,الخلق فيها وأفضله؛ ثم هو لا يتقلب إلا في الشرور و اطعم عرفت أنه ليس إنسانٌ ذو عقلٍ يعلم ذلك ثم لا يحتال لنفسه
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00034.png,في النجاة؛ فعجبت من ذلك كل العجب
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00035.png,إن طبائع الخلق مختلفة  وليس مما خلقه الله في الدنيا مما يمشي على أربع
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00036.png,أو على رجلين أو يطير بجناحين شيء هو @ أفضل من الإنسان،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00037.png,ولكن من الناس البر والفاجر  وقد يكون في بعض البهائم والسباع
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00038.png,والطير ما هو أوفى منه ذمة، وأشد محاماة على حرمه، وأشكر
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00039.png,للمعروف، وأقوم به،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00040.png,وقد يأخذ ابن عرس فيدخله في كمه ويخرجه من الآخر، كالذي يحمل
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00041.png,ما يصنع إليهم على قدر ما يرى منهم
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00042.png,إن طبائع الخلق مختلفة. وليس مما خلقه الله في الدنيا مما يمشي على أربع أو على رجلين
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00043.png,وقد يأخذ ابن عرس فيدخله في كمه ويخرجه من الآخر، كالذي يحمل الطائر على يده، فإذا صاد شيئاً انتفع
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00044.png,الصين هي أكبر دولة منتجة للأجهزة الكهربائية المنزلية في العالم، وفي عام الفين وسبعه
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00045.png,بلغت قيمة صادراتها من التلفزيونات والثلاجات @ والغسالات والهواتف النقالة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00046.png,ما يقارب ثمانيه وخمسين مليار دولار أمريكي  بيد أن الفائض الكبير الذي تحققه الصين في تجارتها
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00047.png,الخارجية أثار احتكاكات تجارية بينها وبين بعض الدول وخاصة المصدرة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00048.png,ولا شك أن ارتفاع قيمة الصادرات ساهمت كثيرا في نمو الاقتصاد الصيني غير أن قيمة الصادرات
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00049.png,الصينية تتراجع بسبب الأزمة المالية العالمية، ولهذا توجهت شركات الأجهزة الكهربائية
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00050.png,المنزلية الصينية إلى أسواق الريف الصيني، في محاولة لتعويض خسارتها الناجمة عن تراجع
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00051.png,الصادرات  هذه التحليلات والاستراتيجيات الاقتصادية لا تعني شيئا بالنسبة  لمن
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00052.png,يقطن قرية نائية
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00053.png,"عندما بدأ تطبيق مشروع ""وصول الأجهزة الكهربائية المنزلية إلى الريف"" في مدينة لينيي"
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00054.png,"تقول تشنغ رو هونغ (33 سنة): ""الناس حاليا يهتمون بنوعية حياتهم ويعيشون بطريقة"
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00055.png,تتوفر لها الظروف المادية الكافية ونمط الحياة الجيد
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00056.png,ويعتقد الخبير السكاني تسنغ يي بينغ ، الأستاذ في جامعة بكين، أن
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00057.png,"عملية التصنيع  سبب لتأخير سن الإنجاب  ويقول: ""اختفى الاقتصاد"
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00058.png,الأسري التقليدي وتغير @  نمط الإنتاج كليا، وأصبح التعليم عملية
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00059.png,ممتدة طويلة، حيث يقضي الفرد وقتا أطول لاكتساب مهارات الحياة،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00060.png,"وتدبير المال استعدادا الإنجاب، فتختار النساء الإنجاب في سن كبيرة"""
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00061.png,ويرى تونغ شين، الأستاذ بكلية العلوم الاجتماعية في جامعة بكين، أن
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00062.png,"تأخير سن الإنجاب يرتبط بارتفاع مكانة النساء في المجتمع  ""مع ارتفاع المستوى"
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00063.png,التعليمي للمرأة، لم يعد دورها في المجتمع مجرد وسيلة للتكاثر  لم تعد المرأة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00064.png,بحاجة إلى تثبيت مكانتها في الأسرة عن طريق الإنجاب، فقد ضعف مفهوم
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00065.png,التكاثر في المجتمع
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00066.png,"تقول لو دي، الموظفة في شركة أجنبية: ""يعتقد غالبية الناس حاليا أنهم يعيشون"
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00067.png,"من أجل أنفسهم فقط، وهذا الرأي هو التيار الرئيسي في المجتمع""  تشعر لو دي بالندم لأنها"
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00068.png,أصبحت أما ، وتغبط الحوامل الكبيرات السن لأن بوسعهن أن يعملن وقتا
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00069.png,أطول بما يساعدهن على تحقيق طموحاتهن والاستمتاع بفترة شبابهن
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00070.png,"يي: ""تأخير سن الإنجاب يؤدي إلى انخفاض معدل الإنجاب  لم يكن تأخير سن"
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00071.png,الإنجاب يمثل مشكلة عندما كان معدل الإنجاب عاليا، ولكن مع انخفاض معدل
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00072.png,"الإنجاب، صار تأخير سن الإنجاب مشكلة في هذا العصر تماما وموكدا"""
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00073.png,تغير مفهوم الإنجاب عند الصينيين في الريف أيضا، مع هجرة كثير من أهل
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00074.png,الريف إلى المدن للعمل لفترة ثم العودة إلى قراهم، حيث انخفض معدل
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00075.png,الإنجاب في المناطق الريفية كثيرا وقد كشف استبيان حول مفهوم الإنجاب،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00076.png,عن وجود اختلاف واضح بين الريفيات اللاتي عملن في المدن واللاتي
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00077.png,لم يغادرن الريف
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00078.png,فالمجموعة الأولى تفضل الإنجاب في سن متأخرة وتباعد فترات الحمل وإنجاب
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00079.png,عدد قليل من الأطفال، بل طفل واحد  وفي معظم الأحوال، يؤخر ويفضل
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00080.png,الفلاحون الذين يعملون في المدن سن الزواج وسن الإنجاب ، فالخروج إلى
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00081.png,العمل يساعد على تقليل الإنجاب  منذ أن تبنت الصين سياسة الإصلاح
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00082.png,والانفتاح قبل ثلاثين سنة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00083.png,يكون على الأسرة مساعدة الشاب الريفي الذي يبقى في الريف عندما يتزوج أو يبني
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00084.png,كان تشه شينغ لاى، الذي سينهي في يونيو هذا العام دراسة الدكتوراه في الفيزياء بجامعة تشينغهوا، يهمهم وهو خارج
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00085.png,"من ملتقى للتوظيف أقيم في القاعة الرياضية الثانية لجامعة بكين مترددا: ""لم أجد شيئا""  لا يختلف حال تشه"
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00086.png,عن معظم الخريجين الذين يدورون بين ملتقيات ومعارض التوظيف منذ بداية هذه السنة الدراسية
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00087.png,أمنية تشه شينغ لاى أن يعمل بالتدريس في جامعة، وقد نال بالفعل بغيته، حيث قبلته جامعة في مدينة تشينهوانغدوا
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00088.png,بمقاطعة خبي، ولكن لأن صديقته @ تعمل في بكين يأمل الشاب أن يكون مكان العمل قريبا الصديقة،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00089.png,"لهذا لم يتوقف عن الذهاب إلى ملتقيات التوظيف  قال تشه: ""في السابق، لم يكن @ عسيرا"
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00090.png,فنتيجة للأزمة المالية العالمية، قللت كثير من الشركات الأجنبية لدى الصين عدد العاملين
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00091.png,بها أو خفضت @ رواتبهم أو حتى استغنت عنهم تماما  في الوقت ذاته
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00092.png,صار العمل في الوحدات الحكومية هو الأكثر تفضيلا  وكما قال تانغ يوان، التي تدرس المالية في
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00093.png,"جامعة رنمين الصينية: ""وضع توظيف خريجي تخصص المالية حاليا غير جيد"
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00094.png,أصدرت شركة شانغهاى المحدودة للخدمات الخارجية تقريرا حول التوظيف
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00095.png,في الصين سنة الفين وثمانية، جاء فيه أن العمل في الوحدات الحكومة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00096.png,هو أفضل عمل للخريجين الصينيين  وتصديقا لما جاء في التقرير، سجل نحو مليون و
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00097.png,أربعين ألف فرد أسماءهم للمشاركة في الامتحان الوطني للعمل في الحكومة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00098.png,وذلك لعام الفين وتسعه
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00099.png,من الموظفين مواكبة للاحتياجات الاستراتيجية للدولة. وتقول إنه مع توقعات النمو المتواصل للاقتصاد الصيني بمعدلات
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00100.png,خلال جولة له في جامعة بكين للطيران والفضاء سنة الفين وثمانية، قال رئيس مجلس الدولة ون
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00101.png,جيا باو، إن الحكومة الصينية ستنفذ قريبا سلسلة من الإجراءات المشجعة لتوظيف خريجي الجامعات
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00102.png,من بينها تهيئة الظروف التي تمكن المؤسسات الكبيرة وخاصة مؤسسات الابتكار @ الذاتي من
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00103.png,توظيف عدد أكبر من خريجي الجامعات
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00104.png,في هذا الإطار، بدأت وزارة التربية والتعليم الصينية بالتعاون مع وزارة السكك
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00105.png,الحديدية ووزارة التجارة الصينية وغيرها من عشر وزارات من نوفمبر عام الفين وثمانية
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00106.png,وقال تشانغ شياو جيان، نائب وزير الموارد البشرية والضمان الاجتماعي إن الوزارة ستنظم
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00107.png,ملتقيات توظيف في الجامعات وعلى شبكة الانترنت، وكذلك أنشطة متنوعة لخريجي الجامعات،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00108.png,مثل الإرشادات المهنية والخدمات الاستشارية وخدمات تأسيس المشروعات الذاتية الخ،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00109.png,أن إنهاض آنهوي يتطلب تركيز الجهود في ثلاثة مجالات، هي تحديدا إدارة المال، إنشاء
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00110.png,صوامع الحبوب، جعل آنهوي فردوسا، أي جعلها منطقة جذب سياحي.
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00111.png,صعدنا قمة الجبل وقت الأصيل فتألقت أمامنا روعته، وكأنه لوحة رسم معلقة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00112.png,بالسماء الزرقاء الرائعه  تنتشر المعابد على جروف الجبل، وفي أودية الجبل، تمتزج
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00113.png,المعابد البوذية أصبح جبل جيوهوا دولة زهور اللوتس البوذية، وصار لوحة فنية
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00114.png,جميلة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00115.png,يتكون جبل جيوهوا من حجر الجرانيت رئيسيا، ويتميز بتضاريسه الغريبة،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00116.png,الغريبة الأشكال، وتتقاطع الأغدرة  على مدى أكثر من ألف عام، ظل جيوهوا قبلة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00117.png,الأدباء والفنانين والمشاهير، فتركوا فيه بصماتهم وأعمالهم  واليوم يحتفظ الجبل
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00118.png,بأكثر من ألف كتاب للشعر والمقالات والأغاني
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00119.png,"في إحدى القصائد التي تصف الجبل نقرأ: ""على ضفة النهر لوحات"
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00120.png,رسمها وانغ وي (رسام صيني قديم)، وعلى أحجار الجبل قصائد
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00121.png,"شعر كتبها لي باي قبل ألف سنة""  ونقرأ أيضا: "" في تشو (مقاطعتا"
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00122.png,هونان وهوبي حاليا) ويويه (مقاطعة تشجيانغ حاليا) آلاف من الجبال،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00123.png,ولكن جيوهوا يجمع جمال كل هذه الجبال
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00124.png,في أكثر فترات ازدهاره، كان عدد المعابد في جبل جيوهوا أكثر من ثلاثمائة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00125.png,معبد  وعلى الرغم من أن جبل جيوهوا يعتبر مع جبال ووتاي، وآمي، وبوتوه
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00126.png,الأربعة جبال المقدسة للبوذية في الصين، فإنه الأكثر زيارة  بعد انتهاج
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00127.png,الصين سياسة الانفتاح على الخارج في سبعينيات القرن الماضي أبرز
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00128.png,جبل جيوهوا البوذي
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00129.png,من أن يعرف حياة أباطرة الصين فليذهب إلى بكين، ومن شاء أن يعرف حياة الشعب في زمن أسرتي مينغ
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00130.png,وتشينغ، فليس أفضل من محافظة ييشيان بمقاطعة آنهوي  تقع محافظة ييشيان بالسفح الجنوبي لجبل
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00131.png,والحقيقة أن محافظة ييشيان بها مئات القرى القديمة، وتضم أكثر من ثلاثة آلاف و@ سبعمائة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00132.png,بناية مازالت محتفظة بأشكالها الأصلية التي كانت عليها في زمن أسرتي مينغ وتشينغ  في هذه القرى القديمة،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00133.png,تشعر أنك دخلت رواقا ممتدا للثقافة الصينية العريقة  تتميز القرى الكبيرة في محافظة ييشيان بوجود
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00134.png,عشائر قوية  و كانت
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00135.png,تتميز القرى الكبيرة في محافظة ييشيان بوجود عشائر قوية  وقد كانت قرية
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00136.png,شيدي موطن عشيرة هو، في حين كانت قرية هونغتسون في منطقة هويتشو
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00137.png,موطن عشيرة وانغ  بسبب الحروب، هاجرت إلى ييشيان عشائر كبيرة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00138.png,فزاد @ عدد سكانها وضاقت بهم المساحة المحدودة من أرضها المستوية،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00139.png,حتى بلغ شظف العيش فيها مبلغا
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00140.png,أنها ذات جدران عالية قمتها على شكل رأس الحصان وبدون نوافذ وبها
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00141.png,والسلامة، ولكنه أيضا يخلق شعورا بالضيق إضافة إلى مشكلة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00142.png,التهوية والإضاءة، ولهذا كان يفتح مسقط للنور، وكان مسقط النور
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00143.png,هو المنفذ الوحيد لرؤية السماء من داخل الدار
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00144.png,يهتم أبناء هويتشو بالتعليم منذ قديم الزمان، ويتجلى هذا الاهتمام في
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00145.png,والاقتصاد، واحترام وبر الوالدين والجد في الدراسة  هذه المعلقات
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00146.png,تعتبر شعارات صاحب البيت وكتاب تعليم للأولاد
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00147.png,المدينة القديمة متحف تاريخي ضخم يضم جسورا وأبراجا وسدودا
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00148.png,وبوابات قديمة  ولعل بوابة شيوي قوهالتذكارية هي أكثر
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00149.png,ما يترك انطباعا عميقا لزائر هويتشو، فهذه البوابة التي
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00150.png,تعتبر واحدة من ثلاث نوادر في  هويتشو، تتكون
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00151.png,من أربعة أعمدة وثلاثة طوابق بدون مسمار
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00152.png,مناظر نهر شينان تجعلك أمام لوحة صينية رائعة، فهي مناظر
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00153.png,وقد بلغ عدد الذين اجتازوا منهم الامتحان الإمبراطوري على المستويين الوطني
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00154.png,"والمحلي أكثر من عشرين  وقد اشتهرت قرية لونغتشوان في هويتشو بأنها ""قرية جينشي"""
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00155.png,أي قرية الناجحين في الامتحان الإمبراطورية  أقيم في القرية 14 بوابة تذكارية، منها
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00156.png,تشعر أنك في قاعة موسيقى سماوية  تشبه الموسيقى إيقاع سقوط المطر على الأفاريز
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00157.png,أحيانا، وتشبه صفير الريح التي تحف بجذور الشجر أحيانا أخرى  تكون
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00158.png,ـ@ سيمفونية أحيانا وتصبح موسيقى @ فلكلورية أحيانا أخرى  هذه
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00159.png,المقطوعات الموسيقية المتنوعة تعزفها عيون الماء والشلالات داخل الوادي  إن أجمل
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00160.png,موسيقى هي تلك التي يعزفها الجبل والماء والحجر
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00161.png,خلال اجتماع للجنة المركزية للحزب الشيوعي الصيني في بكين يوم 24 يناير 2009، بحث
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00162.png,الحاضرون سبل تعزيز التحديث الزراعي، وقد حث الرئيس الصيني هو جين تاو، وهو أيضا
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00163.png,    قال هو جين تاو أيضا إن التنمية الاقتصادية الزراعية والريفية المتواصلة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00164.png,لتوسيع الطلب المحلي، وأن تحسين مستوى معيشة المزارعين يعد مهمة رئيسية
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00165.png,ولكنها صعبة  وطالب هو جين
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00166.png,     أولا، إعطاء أهمية أكبر لأمن الحبوب في الصين وإمدادات المنتجات الزراعية
